Date,High,Low,Close,Volume,Open
2022-01-14,568.900024,553.0,557.0,2063358,568.900024
2022-01-17,562.950012,545.599976,549.549988,3256402,557.0
2022-01-18,553.599976,531.0,534.700012,2514178,550.0
2022-01-19,532.0,502.600006,512.900024,5539545,532.0
2022-01-20,515.5,497.0,502.100006,3023445,514.0
2022-01-21,505.549988,482.100006,487.25,2753113,497.0
2022-01-24,483.0,441.850006,450.5,6146783,478.549988
2022-01-25,467.799988,431.0,461.100006,4044257,443.0
2022-01-27,462.0,431.0,437.899994,4719874,461.0
2022-01-28,462.0,443.100006,445.100006,5734166,453.149994
2022-01-31,482.0,451.350006,475.600006,6051319,457.299988
2022-02-01,484.899994,463.549988,472.0,4056465,482.299988
2022-02-02,479.899994,472.049988,476.75,1491646,475.049988
2022-02-03,486.899994,473.0,475.200012,2113638,478.850006
2022-02-04,478.0,461.200012,467.399994,1861340,468.600006
2022-02-07,473.0,449.0,452.75,1295173,469.600006
2022-02-08,457.200012,440.450012,442.549988,1517358,453.0
2022-02-09,464.0,445.549988,455.75,2815110,446.0
2022-02-10,465.899994,456.0,463.049988,2075464,458.049988
2022-02-11,459.0,449.5,453.0,2074346,458.950012
2022-02-14,444.0,418.549988,422.549988,1956388,430.0
2022-02-15,453.299988,424.950012,447.149994,3614022,434.399994
2022-02-16,459.0,440.299988,444.200012,2353074,457.0
2022-02-17,449.700012,435.600006,439.850006,1440200,448.0
2022-02-18,438.799988,422.649994,426.700012,1532920,435.899994
2022-02-21,424.950012,407.600006,412.899994,2951140,424.950012
2022-02-22,419.549988,392.600006,416.700012,3623024,395.100006
2022-02-23,425.049988,413.5,414.799988,1928531,421.5
2022-02-24,400.0,380.0,382.200012,3598722,395.0
2022-02-25,411.0,397.200012,403.549988,3130605,399.0
2022-02-28,409.549988,390.450012,407.649994,2654325,397.100006
2022-03-02,425.0,402.450012,421.149994,3465837,402.450012
2022-03-03,437.0,425.100006,429.850006,3486602,430.100006
2022-03-04,445.5,416.450012,437.950012,4290597,424.100006
2022-03-07,443.200012,424.649994,431.100006,3154297,430.0
2022-03-08,454.0,430.850006,451.200012,3155855,431.149994
2022-03-09,460.5,452.299988,456.149994,2402749,457.0
2022-03-10,470.0,445.200012,450.0,2765700,470.0
2022-03-11,457.850006,444.100006,453.25,1698204,448.600006
2022-03-14,458.850006,450.5,452.25,1536087,450.5
2022-03-15,454.899994,433.200012,436.899994,1272469,452.25
2022-03-16,450.0,440.0,442.5,1319047,446.799988
2022-03-17,453.5,440.299988,443.950012,2495071,451.0
2022-03-21,453.0,441.5,443.75,1287493,448.950012
2022-03-22,468.850006,443.350006,465.899994,6214056,443.799988
2022-03-23,474.950012,461.649994,467.549988,3919329,470.600006
2022-03-24,482.950012,465.049988,480.100006,4084827,468.0
2022-03-25,486.0,463.0,465.899994,2647923,483.850006
2022-03-28,468.25,452.75,454.0,1741295,466.899994
2022-03-29,464.75,451.700012,456.049988,1993390,457.0
2022-03-30,464.0,449.450012,454.200012,2023598,461.399994
2022-03-31,459.899994,450.200012,454.950012,1173562,456.399994
2022-04-01,468.799988,451.5,466.600006,2251442,455.0
2022-04-04,477.5,467.0,471.850006,1657647,471.0
2022-04-05,497.0,472.25,489.649994,6633629,475.0
2022-04-06,498.0,471.950012,482.450012,3812795,491.0
2022-04-07,491.700012,478.450012,484.899994,2825692,482.399994
2022-04-08,496.0,484.25,489.600006,2494640,488.0
2022-04-11,501.600006,484.049988,496.450012,3637691,490.0
2022-04-12,497.899994,425.149994,460.5,13785887,497.899994
2022-04-13,474.0,442.799988,452.399994,5731891,465.0
2022-04-18,445.0,422.600006,425.0,4784745,445.0
2022-04-19,440.799988,414.0,425.899994,3518154,435.0
2022-04-20,434.0,415.5,419.549988,3309317,427.0
2022-04-21,434.899994,421.0,431.649994,2817254,425.149994
2022-04-22,441.0,418.5,419.799988,3470345,430.600006
2022-04-25,419.0,405.100006,410.450012,2357276,419.0
2022-04-26,429.0,414.399994,421.549988,1696588,419.950012
2022-04-27,421.5,412.75,417.799988,1730324,412.75
2022-04-28,427.850006,417.049988,425.100006,1729266,421.600006
2022-04-29,430.549988,412.0,413.899994,1881430,427.0
2022-05-02,416.799988,405.0,406.649994,1528762,405.649994
2022-05-04,414.799988,400.5,405.350006,1568088,409.049988
2022-05-05,419.100006,409.0,415.649994,2015524,409.600006
2022-05-06,406.049988,388.149994,394.850006,3126841,401.0
2022-05-09,391.100006,372.5,386.950012,3528432,390.0
2022-05-10,391.75,373.5,376.399994,1685514,382.5
2022-05-11,381.5,349.25,363.200012,3370371,379.950012
2022-05-12,368.600006,348.049988,363.5,2857836,356.0
2022-05-13,376.0,355.200012,357.950012,1707191,372.0
2022-05-16,367.899994,355.25,362.149994,982942,364.0
2022-05-17,388.0,362.5,383.899994,1785580,365.5
2022-05-18,401.0,381.799988,389.350006,2763383,385.0
2022-05-19,388.5,377.0,382.950012,2146623,385.0
2022-05-20,393.0,381.5,383.5,1816816,393.0
2022-05-23,387.649994,375.399994,378.100006,1246814,385.5
2022-05-24,384.899994,368.850006,373.700012,3066271,382.0
2022-05-25,377.600006,340.600006,343.25,4732740,377.600006
2022-05-26,355.600006,338.25,353.700012,3123783,348.0
2022-05-27,369.0,356.100006,362.649994,2210418,357.25
2022-05-30,376.450012,366.399994,373.200012,1716336,368.700012
2022-05-31,377.450012,368.5,370.600006,1575617,373.200012
2022-06-01,378.200012,363.600006,368.149994,1049132,372.0
2022-06-02,374.899994,366.0,372.299988,1309097,368.0
2022-06-03,390.5,376.950012,381.450012,4712523,378.0
2022-06-06,381.399994,367.149994,368.649994,1795247,381.399994
2022-06-07,368.399994,360.25,361.399994,981608,365.0
2022-06-08,370.799988,362.399994,365.5,1468886,363.25
2022-06-09,369.899994,362.0,368.350006,770744,365.0
2022-06-10,366.75,356.0,357.299988,1172220,364.0
2022-06-13,349.0,334.0,337.950012,1677416,349.0
2022-06-14,353.0,333.0,348.649994,2067925,333.100006
2022-06-15,357.049988,348.799988,350.799988,1482824,349.049988
